Country,Date,OneK60kgBags
USA,7/1/1990,21007.0
Germany,7/1/1990,13671.0
Japan,7/1/1990,5330.0
Italy,7/1/1990,5242.0
France,7/1/1990,6301.0
All,7/1/1990,74131.0
USA,7/1/1991,19840.0
Germany,7/1/1991,13229.0
Japan,7/1/1991,5510.0
Italy,7/1/1991,4630.0
France,7/1/1991,6553.0
All,7/1/1991,71282.0
USA,7/1/1992,22939.0
Germany,7/1/1992,13789.0
Japan,7/1/1992,5326.0
Italy,7/1/1992,4595.0
France,7/1/1992,6612.0
All,7/1/1992,79216.0
USA,7/1/1993,19329.0
Germany,7/1/1993,14107.0
Japan,7/1/1993,5691.0
Italy,7/1/1993,5594.0
France,7/1/1993,6334.0
All,7/1/1993,77120.0
USA,7/1/1994,16171.0
Germany,7/1/1994,13583.0
Japan,7/1/1994,6217.0
Italy,7/1/1994,5554.0
France,7/1/1994,6369.0
All,7/1/1994,75024.0
USA,7/1/1995,17107.0
Germany,7/1/1995,12852.0
Japan,7/1/1995,5489.0
Italy,7/1/1995,5388.0
France,7/1/1995,6214.0
All,7/1/1995,72371.0
USA,7/1/1996,19445.0
Germany,7/1/1996,13507.0
Japan,7/1/1996,5994.0
Italy,7/1/1996,5608.0
France,7/1/1996,6660.0
All,7/1/1996,77854.0
USA,7/1/1997,20343.0
Germany,7/1/1997,13905.0
Japan,7/1/1997,5921.0
Italy,7/1/1997,5743.0
France,7/1/1997,6704.0
All,7/1/1997,81063.0
USA,7/1/1998,21030.0
Germany,7/1/1998,13740.0
Japan,7/1/1998,6027.0
Italy,7/1/1998,5889.0
France,7/1/1998,6576.0
All,7/1/1998,82767.0
USA,7/1/1999,22746.0
Germany,7/1/1999,14320.0
Japan,7/1/1999,6547.0
Italy,7/1/1999,5943.0
France,7/1/1999,6676.0
All,7/1/1999,85432.0
USA,7/1/2000,23767.0
Germany,7/1/2000,13895.0
Japan,7/1/2000,6908.0
Italy,7/1/2000,6315.0
France,7/1/2000,6520.0
All,7/1/2000,87642.0
USA,7/1/2001,21415.0
Germany,7/1/2001,14753.0
Japan,7/1/2001,6996.0
Italy,7/1/2001,6542.0
France,7/1/2001,6753.0
All,7/1/2001,88950.0
USA,7/1/2002,21639.0
Germany,7/1/2002,15516.0
Japan,7/1/2002,7307.0
Italy,7/1/2002,6523.0
France,7/1/2002,6925.0
All,7/1/2002,91266.0
USA,7/1/2003,22760.0
Germany,7/1/2003,15727.0
Japan,7/1/2003,6923.0
Italy,7/1/2003,6929.0
France,7/1/2003,6652.0
All,7/1/2003,93394.0
USA,7/1/2004,23184.0
Germany,7/1/2004,17356.0
Japan,7/1/2004,7254.0
Italy,7/1/2004,7032.0
France,7/1/2004,5940.0
All,7/1/2004,95847.0
USA,7/1/2005,23042.0
Germany,7/1/2005,16716.0
Japan,7/1/2005,7408.0
Italy,7/1/2005,7269.0
France,7/1/2005,5714.0
All,7/1/2005,96376.0
USA,7/1/2006,23709.0
Germany,7/1/2006,18543.0
Japan,7/1/2006,7632.0
Italy,7/1/2006,7548.0
France,7/1/2006,6191.0
All,7/1/2006,101567.0
USA,7/1/2007,24219.0
Germany,7/1/2007,19564.0
Japan,7/1/2007,7086.0
Italy,7/1/2007,8028.0
France,7/1/2007,6420.0
All,7/1/2007,104655.0
USA,7/1/2008,24277.0
Germany,7/1/2008,19876.0
Japan,7/1/2008,7060.0
Italy,7/1/2008,8172.0
France,7/1/2008,6252.0
All,7/1/2008,106798.0
USA,7/1/2009,23578.0
Germany,7/1/2009,19416.0
Japan,7/1/2009,7090.0
Italy,7/1/2009,8078.0
France,7/1/2009,6670.0
All,7/1/2009,104513.0
USA,7/1/2010,24378.0
Germany,7/1/2010,20603.0
Japan,7/1/2010,7407.0
Italy,7/1/2010,8236.0
France,7/1/2010,6717.0
All,7/1/2010,109145.0
USA,7/1/2011,26093.0
Germany,7/1/2011,20926.0
Japan,7/1/2011,7544.0
Italy,7/1/2011,8355.0
France,7/1/2011,6992.0
All,7/1/2011,111812.0
USA,7/1/2012,26056.0
Germany,7/1/2012,21816.0
Japan,7/1/2012,7025.0
Italy,7/1/2012,8691.0
France,7/1/2012,6841.0
All,7/1/2012,113171.0
USA,7/1/2013,27016.0
Germany,7/1/2013,21174.0
Japan,7/1/2013,8381.0
Italy,7/1/2013,8823.0
France,7/1/2013,6713.0
All,7/1/2013,115931.0
USA,7/1/2014,27565.0
Germany,7/1/2014,
Japan,7/1/2014,7657.0
Italy,7/1/2014,
France,7/1/2014,
All,7/1/2014,120028.0
USA,7/1/2015,27708.0
Germany,7/1/2015,
Japan,7/1/2015,8063.0
Italy,7/1/2015,
France,7/1/2015,
All,7/1/2015,121384.0
USA,7/1/2016,28838.0
Germany,7/1/2016,
Japan,7/1/2016,8026.0
Italy,7/1/2016,
France,7/1/2016,
All,7/1/2016,127633.0
USA,7/1/2017,29488.0
Germany,7/1/2017,
Japan,7/1/2017,7647.0
Italy,7/1/2017,
France,7/1/2017,
All,7/1/2017,126065.0
USA,7/1/2018,28918.0
Germany,7/1/2018,
Japan,7/1/2018,7540.0
Italy,7/1/2018,
France,7/1/2018,
All,7/1/2018,129977.0
