Country,Date,RetailPriceUSD
France,7/1/1990,3.73
Germany,7/1/1990,3.99
Italy,7/1/1990,5.31
Japan,7/1/1990,10.26
USA,7/1/1990,2.97
France,7/1/1991,3.43
Germany,7/1/1991,3.84
Italy,7/1/1991,5.62
Japan,7/1/1991,11.88
USA,7/1/1991,2.81
France,7/1/1992,2.31
Germany,7/1/1992,4.0
Italy,7/1/1992,5.86
Japan,7/1/1992,12.62
USA,7/1/1992,2.58
France,7/1/1993,2.03
Germany,7/1/1993,3.62
Italy,7/1/1993,4.59
Japan,7/1/1993,14.57
USA,7/1/1993,2.47
France,7/1/1994,2.4
Germany,7/1/1994,4.18
Italy,7/1/1994,4.68
Japan,7/1/1994,14.69
USA,7/1/1994,3.4
France,7/1/1995,3.69
Germany,7/1/1995,5.02
Italy,7/1/1995,5.7
Japan,7/1/1995,17.72
USA,7/1/1995,4.04
France,7/1/1996,3.3
Germany,7/1/1996,4.17
Italy,7/1/1996,5.92
Japan,7/1/1996,15.24
USA,7/1/1996,3.43
France,7/1/1997,2.76
Germany,7/1/1997,4.03
Italy,7/1/1997,5.45
Japan,7/1/1997,14.22
USA,7/1/1997,4.11
France,7/1/1998,2.78
Germany,7/1/1998,4.04
Italy,7/1/1998,5.53
Japan,7/1/1998,13.52
USA,7/1/1998,3.77
France,7/1/1999,2.55
Germany,7/1/1999,3.42
Italy,7/1/1999,5.16
Japan,7/1/1999,15.32
USA,7/1/1999,3.43
France,7/1/2000,2.15
Germany,7/1/2000,2.83
Italy,7/1/2000,4.44
Japan,7/1/2000,12.92
USA,7/1/2000,3.45
France,7/1/2001,1.99
Germany,7/1/2001,2.63
Italy,7/1/2001,4.33
Japan,7/1/2001,8.6
USA,7/1/2001,3.09
France,7/1/2002,2.07
Germany,7/1/2002,2.73
Italy,7/1/2002,4.57
Japan,7/1/2002,8.13
USA,7/1/2002,2.92
France,7/1/2003,2.5
Germany,7/1/2003,3.18
Italy,7/1/2003,5.47
Japan,7/1/2003,8.19
USA,7/1/2003,2.92
France,7/1/2004,2.72
Germany,7/1/2004,3.33
Italy,7/1/2004,6.01
Japan,7/1/2004,8.75
USA,7/1/2004,2.85
France,7/1/2005,2.75
Germany,7/1/2005,4.06
Italy,7/1/2005,6.13
Japan,7/1/2005,8.22
USA,7/1/2005,3.26
France,7/1/2006,2.97
Germany,7/1/2006,4.33
Italy,7/1/2006,6.29
Japan,7/1/2006,8.16
USA,7/1/2006,3.2
France,7/1/2007,3.41
Germany,7/1/2007,4.69
Italy,7/1/2007,7.02
Japan,7/1/2007,8.09
USA,7/1/2007,3.47
France,7/1/2008,3.86
Germany,7/1/2008,5.13
Italy,7/1/2008,7.87
Japan,7/1/2008,8.32
USA,7/1/2008,
France,7/1/2009,3.79
Germany,7/1/2009,4.75
Italy,7/1/2009,7.68
Japan,7/1/2009,6.07
USA,7/1/2009,3.67
France,7/1/2010,3.62
Germany,7/1/2010,4.76
Italy,7/1/2010,7.34
Japan,7/1/2010,6.39
USA,7/1/2010,3.91
France,7/1/2011,4.13
Germany,7/1/2011,5.1
Italy,7/1/2011,8.52
Japan,7/1/2011,7.35
USA,7/1/2011,5.19
France,7/1/2012,3.92
Germany,7/1/2012,4.74
Italy,7/1/2012,8.49
Japan,7/1/2012,7.57
USA,7/1/2012,5.68
France,7/1/2013,3.92
Germany,7/1/2013,5.65
Italy,7/1/2013,8.99
Japan,7/1/2013,6.05
USA,7/1/2013,5.45
France,7/1/2014,3.77
Germany,7/1/2014,5.72
Italy,7/1/2014,8.85
Japan,7/1/2014,5.68
USA,7/1/2014,4.99
France,7/1/2015,3.11
Germany,7/1/2015,5.18
Italy,7/1/2015,7.48
Japan,7/1/2015,5.6
USA,7/1/2015,4.72
France,7/1/2016,3.26
Germany,7/1/2016,5.05
Italy,7/1/2016,7.45
Japan,7/1/2016,6.21
USA,7/1/2016,4.39
France,7/1/2017,3.4
Germany,7/1/2017,5.34
Italy,7/1/2017,7.67
Japan,7/1/2017,5.95
USA,7/1/2017,4.45
France,7/1/2018,3.68
Germany,7/1/2018,5.49
Italy,7/1/2018,8.12
Japan,7/1/2018,5.8
USA,7/1/2018,4.3
